GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
CLIC1-2,1203,0.01,0,0,3.23,9.75,2.83,-9.062876573,1.45E-12,1.45E-12,CLIC1,ELR50207.1;NP_001274522.1,"Chloride intracellular channel protein 1, partial [Bos mutus];chloride intracellular channel protein 1 [Homo sapiens]",GO:0005737;GO:0051726;GO:0005244;GO:0031965;GO:0070062;GO:0005886;GO:0034765;GO:0045669;GO:0005739;GO:0048471;GO:0006749;GO:0051881;GO:0005254;GO:0005634;GO:0006821;GO:0034707,cytoplasm;regulation of cell cycle;voltage-gated ion channel activity;nuclear membrane;extracellular exosome;plasma membrane;regulation of ion transmembrane transport;positive regulation of osteoblast differentiation;mitochondrion;perinuclear region of cytoplasm;glutathione metabolic process;regulation of mitochondrial membrane potential;chloride channel activity;nucleus;chloride transport;chloride channel complex,K05021,CLIC1,http://www.genome.jp/dbget-bin/www_bget?ko:K05021,-,-,-,-,sp|O00299|CLIC1_HUMAN,Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4
FAM107A,3187,0.1,0.13,0.02,0,0,0,4.81982213,0.02111992,0.02111992,FAM107A,XP_032146200.1;XP_023056420.1;BAG51416.1;NP_001269643.1;XP_030162978.1,actin-associated protein FAM107A isoform X1 [Sapajus apella];actin-associated protein FAM107A isoform X1 [Piliocolobus tephrosceles];unnamed protein product [Homo sapiens];actin-associated protein FAM107A isoform c [Homo sapiens];actin-associated protein FAM107A isoform X1 [Lynx canadensis],GO:0031647;GO:0071385;GO:0016607;GO:0031669;GO:0001725;GO:0031398;GO:0007049;GO:0030041;GO:0050890;GO:0030335;GO:0005925;GO:0005634;GO:0015629;GO:0070507;GO:0051895;GO:0003779;GO:0043005;GO:2000134;GO:0032587;GO:0001558;GO:0045202;GO:0032956;GO:0051017;GO:1900272;GO:0005737,regulation of protein stability;cellular response to glucocorticoid stimulus;nuclear speck;cellular response to nutrient levels;stress fiber;positive regulation of protein ubiquitination;cell cycle;actin filament polymerization;cognition;positive regulation of cell migration;focal adhesion;nucleus;actin cytoskeleton;regulation of microtubule cytoskeleton organization;negative regulation of focal adhesion assembly;actin binding;neuron projection;negative regulation of G1/S transition of mitotic cell cycle;ruffle membrane;regulation of cell growth;synapse;regulation of actin cytoskeleton organization;actin filament bundle assembly;negative regulation of long-term synaptic potentiation;cytoplasm,-,-,-,-,-,-,-,sp|O95990|F107A_HUMAN,Actin-associated protein FAM107A OS=Homo sapiens OX=9606 GN=FAM107A PE=1 SV=1
PGM5P4-AS1,502,1.23,4.7,6.08,0.59,0.83,0.34,2.771867346,0.000802339,0.000802339,PGM5P4-AS1,XP_017739356.1,PREDICTED: uncharacterized protein LOC108536805 isoform X2 [Rhinopithecus bieti],-,-,-,-,-,-,-,-,-,-,-
PMEL,2141,0.49,0.97,0.87,1.32,1.89,2.09,-1.140982288,0.00571804,0.00571804,PMEL,BAH13223.1;NP_001307051.1;NP_001307050.1;NP_001371290.1;NP_001186983.1,unnamed protein product [Homo sapiens];melanocyte protein PMEL isoform 5 preproprotein [Homo sapiens];melanocyte protein PMEL isoform 4 preproprotein [Homo sapiens];melanocyte protein PMEL isoform 3 preproprotein [Homo sapiens];melanocyte protein PMEL isoform 1 preproprotein [Homo sapiens],GO:0005794;GO:0042802;GO:0032438;GO:0005783;GO:0005886;GO:0005576;GO:0042470;GO:0016021;GO:0042438;GO:0005789;GO:0005887;GO:0032585,Golgi apparatus;identical protein binding;melanosome organization;endoplasmic reticulum;plasma membrane;extracellular region;melanosome;integral component of membrane;melanin biosynthetic process;endoplasmic reticulum membrane;integral component of plasma membrane;multivesicular body membrane,K17304,"PMEL,SILV",http://www.genome.jp/dbget-bin/www_bget?ko:K17304,-,-,-,-,sp|P40967|PMEL_HUMAN,Melanocyte protein PMEL OS=Homo sapiens OX=9606 GN=PMEL PE=1 SV=2
LINC02984,5813,0.93,0.98,0.8,0.56,0.35,0.44,1.067456362,0.000433562,0.000433562,LINC02984,-,-,-,-,-,-,-,-,-,-,-,-,-
AKT3,3116,2.81,2.36,3,4.16,3.7,2.86,-1.057191123,0.00042606,0.00042606,AKT3,XP_024302660.1;XP_008570710.1;XP_017915748.1;XP_029790703.1;XP_011542316.1;XP_020837739.1,"RAC-gamma serine/threonine-protein kinase isoform X4 [Homo sapiens];PREDICTED: RAC-gamma serine/threonine-protein kinase, partial [Galeopterus variegatus];PREDICTED: RAC-gamma serine/threonine-protein kinase isoform X1 [Capra hircus];RAC-gamma serine/threonine-protein kinase isoform X1 [Suricata suricatta];RAC-gamma serine/threonine-protein kinase isoform X5 [Homo sapiens];RAC-gamma serine/threonine-protein kinase isoform X2 [Phascolarctos cinereus]",GO:2000773;GO:0006468;GO:0005737;GO:0045766;GO:0048873;GO:0106311;GO:0005886;GO:0005524;GO:0043536;GO:0090050;GO:0018105;GO:0016020;GO:0001938;GO:1905653;GO:0007165;GO:0045793;GO:0106310;GO:1905564;GO:0004672;GO:0000002;GO:0048854;GO:0035556;GO:0032008;GO:0016301;GO:0004674;GO:0005634,negative regulation of cellular senescence;protein phosphorylation;cytoplasm;positive regulation of angiogenesis;homeostasis of number of cells within a tissue;protein serine/threonine kinase activity;plasma membrane;ATP binding;positive regulation of blood vessel endothelial cell migration;positive regulation of cell migration involved in sprouting angiogenesis;peptidyl-serine phosphorylation;membrane;positive regulation of endothelial cell proliferation;positive regulation of artery morphogenesis;signal transduction;positive regulation of cell size;protein serine kinase activity;positive regulation of vascular endothelial cell proliferation;protein kinase activity;mitochondrial genome maintenance;brain morphogenesis;intracellular signal transduction;positive regulation of TOR signaling;kinase activity;protein serine/threonine kinase activity;nucleus,K04456,AKT,http://www.genome.jp/dbget-bin/www_bget?ko:K04456,"Apoptosis;Cellular senescence;Focal adhesion;Signaling pathways regulating pluripotency of stem cells;Autophagy - animal;AMPK signaling pathway;Apelin signaling pathway;ErbB signaling pathway;FoxO signaling pathway;HIF-1 signaling pathway;JAK-STAT signaling pathway;MAPK signaling pathway;PI3K-Akt signaling pathway;Phospholipase D signaling pathway;Rap1 signaling pathway;Ras signaling pathway;Sphingolipid signaling pathway;TNF signaling pathway;VEGF signaling pathway;cAMP signaling pathway;cGMP-PKG signaling pathway;mTOR signaling pathway;Central carbon metabolism in cancer;Chemical carcinogenesis - reactive oxygen species;Chemical carcinogenesis - receptor activation;Choline metabolism in cancer;PD-L1 expression and PD-1 checkpoint pathway in cancer;Pathways in cancer;Proteoglycans in cancer;Acute myeloid leukemia;Breast cancer;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;Gastric cancer;Glioma;Hepatocellular carcinoma;Melanoma;Non-small cell lung cancer;Pancreatic cancer;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;Diabetic cardiomyopathy;Fluid shear stress and atherosclerosis;Lipid and atherosclerosis;EGFR tyrosine kinase inhibitor resistance;Endocrine resistance;Platinum drug resistance;AGE-RAGE signaling pathway in diabetic complications;Alcoholic liver disease;Insulin resistance;Non-alcoholic fatty liver disease;Salmonella infection;Shigellosis;Tuberculosis;Yersinia infection;Chagas disease;Toxoplasmosis;Epstein-Barr virus infection;Hepatitis B;Hepatitis C;Herpes simplex virus 1 infection;Human T-cell leukemia virus 1 infection;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human papillomavirus infection;Influenza A;Kaposi sarcoma-associated herpesvirus infection;Measles;Alzheimer disease;Spinocerebellar ataxia;Longevity regulating pathway;Longevity regulating pathway - multiple species;Longevity regulating pathway - worm;Adrenergic signaling in cardiomyocytes;Osteoclast differentiation;Carbohydrate digestion and absorption;Adipocytokine signaling pathway;Estrogen signaling pathway;Glucagon signaling pathway;GnRH secretion;Growth hormone synthesis, secretion and action;Insulin signaling pathway;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Regulation of lipolysis in adipocytes;Relaxin signaling pathway;Thyroid hormone signaling pathway;B cell receptor signaling pathway;C-type lectin receptor signaling pathway;Chemokine signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Neutrophil extracellular trap formation;Platelet activation;T cell receptor signaling pathway;Toll-like receptor signaling pathway;Cholinergic synapse;Dopaminergic synapse;Neurotrophin signaling pathway","ko04210,ko04218,ko04510,ko04550,ko04140,ko04152,ko04371,ko04012,ko04068,ko04066,ko04630,ko04010,ko04151,ko04072,ko04015,ko04014,ko04071,ko04668,ko04370,ko04024,ko04022,ko04150,ko05230,ko05208,ko05207,ko05231,ko05235,ko05200,ko05205,ko05221,ko05224,ko05220,ko05210,ko05213,ko05226,ko05214,ko05225,ko05218,ko05223,ko05212,ko05215,ko05211,ko05222,ko05415,ko05418,ko05417,ko01521,ko01522,ko01524,ko04933,ko04936,ko04931,ko04932,ko05132,ko05131,ko05152,ko05135,ko05142,ko05145,ko05169,ko05161,ko05160,ko05168,ko05166,ko05163,ko05170,ko05165,ko05164,ko05167,ko05162,ko05010,ko05017,ko04211,ko04213,ko04212,ko04261,ko04380,ko04973,ko04920,ko04915,ko04922,ko04929,ko04935,ko04910,ko04914,ko04917,ko04923,ko04926,ko04919,ko04662,ko04625,ko04062,ko04664,ko04666,ko04613,ko04611,ko04660,ko04620,ko04725,ko04728,ko04722",KOG0690,Serine/threonine protein kinase,sp|Q9Y243|AKT3_HUMAN,RAC-gamma serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=AKT3 PE=1 SV=1
ADAMTS9,7624,0.62,0.32,0.43,0.12,0.12,0.12,2.037593541,1.68E-06,1.68E-06,ADAMTS9,NP_001305710.1;NP_891550.1,A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform 4 precursor [Homo sapiens];A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform 1 preproprotein [Homo sapiens],GO:0004222;GO:0043231;GO:0003229;GO:0009617;GO:0015031;GO:0008270;GO:0045636;GO:0005783;GO:0007275;GO:0006516;GO:0008237;GO:0005576;GO:0035909;GO:1903671;GO:0030198;GO:0010596;GO:0005615;GO:0003179;GO:0006508;GO:0016192;GO:0031012;GO:0090673;GO:0009986,metalloendopeptidase activity;intracellular membrane-bounded organelle;ventricular cardiac muscle tissue development;response to bacterium;protein transport;zinc ion binding;positive regulation of melanocyte differentiation;endoplasmic reticulum;multicellular organism development;glycoprotein catabolic process;metallopeptidase activity;extracellular region;aorta morphogenesis;negative regulation of sprouting angiogenesis;extracellular matrix organization;negative regulation of endothelial cell migration;extracellular space;heart valve morphogenesis;proteolysis;vesicle-mediated transport;extracellular matrix;endothelial cell-matrix adhesion;cell surface,K08624,ADAMTS9,http://www.genome.jp/dbget-bin/www_bget?ko:K08624,-,-,KOG3538,Disintegrin metalloproteinases with thrombospondin repeats,sp|Q9P2N4|ATS9_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Homo sapiens OX=9606 GN=ADAMTS9 PE=1 SV=4
NEIL2,2299,0.79,1.08,1.12,3.46,1.52,2.9,-1.375361279,0.000183236,0.000183236,NEIL2,NP_001129220.1;XP_009438526.1;XP_001142056.1,endonuclease 8-like 2 isoform c [Homo sapiens];endonuclease 8-like 2 isoform X2 [Pan troglodytes];endonuclease 8-like 2 isoform X1 [Pan troglodytes],GO:0003906;GO:0008270;GO:0005654;GO:0045008;GO:0016799;GO:0043231;GO:0019104;GO:0005737;GO:0072686;GO:0006284;GO:0003684;GO:0008017;GO:0140078,"DNA-(apurinic or apyrimidinic site) endonuclease activity;zinc ion binding;nucleoplasm;depyrimidination;hydrolase activity, hydrolyzing N-glycosyl compounds;intracellular membrane-bounded organelle;DNA N-glycosylase activity;cytoplasm;mitotic spindle;base-excision repair;damaged DNA binding;microtubule binding;class I DNA-(apurinic or apyrimidinic site) endonuclease activity",K10568,NEIL2,http://www.genome.jp/dbget-bin/www_bget?ko:K10568,Base excision repair,ko03410,-,-,sp|Q969S2|NEIL2_HUMAN,Endonuclease 8-like 2 OS=Homo sapiens OX=9606 GN=NEIL2 PE=1 SV=3
NUSAP1,2242,15.54,12.27,13.18,28.36,25.98,31.3,-1.003567549,1.23E-18,1.23E-18,NUSAP1,XP_006720625.1;XP_006720622.1;NP_057443.2;NP_001288065.1;NP_060924.4;NP_001230073.1;XP_006720623.1;XP_006720626.1;XP_006720624.1;XP_005254487.1;XP_005254485.1;NP_001230072.1;NP_001230071.1;XP_005254488.1;XP_016877783.1,nucleolar and spindle-associated protein 1 isoform X6 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform X1 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform 1 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform 7 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform 2 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform 6 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform X3 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform X8 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform X4 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform X5 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform X2 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform 5 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform 4 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform X7 [Homo sapiens];nucleolar and spindle-associated protein 1 isoform X9 [Homo sapiens],GO:0005737;GO:0000281;GO:0040001;GO:0005730;GO:0072686;GO:0008017;GO:0005694;GO:0003677;GO:0003723;GO:0005819;GO:0000070;GO:0005874;GO:0045840;GO:0005634;GO:0007076,cytoplasm;mitotic cytokinesis;establishment of mitotic spindle localization;nucleolus;mitotic spindle;microtubule binding;chromosome;DNA binding;RNA binding;spindle;mitotic sister chromatid segregation;microtubule;positive regulation of mitotic nuclear division;nucleus;mitotic chromosome condensation,-,-,-,-,-,-,-,sp|Q9BXS6|NUSAP_HUMAN,Nucleolar and spindle-associated protein 1 OS=Homo sapiens OX=9606 GN=NUSAP1 PE=1 SV=1
ACSS1,3017,0.43,0.28,0.52,0.09,0.21,0.14,1.594950968,0.011718415,0.011718415,ACSS1,XP_011527690.1;XP_006723722.1;NP_115890.2;NP_001239604.1;NP_001239606.1;NP_001239605.1,"acetyl-coenzyme A synthetase 2-like, mitochondrial isoform X2 [Homo sapiens];acetyl-coenzyme A synthetase 2-like, mitochondrial isoform X1 [Homo sapiens];acetyl-coenzyme A synthetase 2-like, mitochondrial isoform 1 precursor [Homo sapiens];acetyl-coenzyme A synthetase 2-like, mitochondrial isoform 2 precursor [Homo sapiens];acetyl-coenzyme A synthetase 2-like, mitochondrial isoform 4 precursor [Homo sapiens];acetyl-coenzyme A synthetase 2-like, mitochondrial isoform 3 [Homo sapiens]",GO:0016208;GO:0000166;GO:0006069;GO:0016021;GO:0019542;GO:0050218;GO:0005759;GO:0006085;GO:0005524;GO:0019427;GO:0019413;GO:0003987,AMP binding;nucleotide binding;ethanol oxidation;integral component of membrane;propionate biosynthetic process;propionate-CoA ligase activity;mitochondrial matrix;acetyl-CoA biosynthetic process;ATP binding;acetyl-CoA biosynthetic process from acetate;acetate biosynthetic process;acetate-CoA ligase activity,K01895,"ACSS1_2,acs",http://www.genome.jp/dbget-bin/www_bget?ko:K01895,Glycolysis / Gluconeogenesis;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Pyruvate metabolism,"ko00010,ko00630,ko00640,ko00620",KOG1175,Acyl-CoA synthetase,sp|Q9NUB1|ACS2L_HUMAN,"Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Homo sapiens OX=9606 GN=ACSS1 PE=1 SV=2"
PTX3,1884,51.03,40.98,46.7,12.28,11.56,13.39,1.966028792,4.15E-76,4.15E-76,PTX3,NP_002843.2,pentraxin-related protein PTX3 precursor [Homo sapiens],GO:0044793;GO:0001550;GO:0005576;GO:0001878;GO:0046790;GO:0042802;GO:0044869;GO:0006954;GO:0044871;GO:0045087;GO:1903016;GO:0045429;GO:0031012;GO:1903019;GO:0005615;GO:0046597;GO:0050766;GO:0043312;GO:0008228;GO:0001872;GO:0001849;GO:0035580;GO:1904724;GO:0030198,negative regulation by host of viral process;ovarian cumulus expansion;extracellular region;response to yeast;virion binding;identical protein binding;negative regulation by host of viral exo-alpha-sialidase activity;inflammatory response;negative regulation by host of viral glycoprotein metabolic process;innate immune response;negative regulation of exo-alpha-sialidase activity;positive regulation of nitric oxide biosynthetic process;extracellular matrix;negative regulation of glycoprotein metabolic process;extracellular space;negative regulation of viral entry into host cell;positive regulation of phagocytosis;neutrophil degranulation;opsonization;(1->3)-beta-D-glucan binding;complement component C1q complex binding;specific granule lumen;tertiary granule lumen;extracellular matrix organization,-,-,-,-,-,-,-,sp|P26022|PTX3_HUMAN,Pentraxin-related protein PTX3 OS=Homo sapiens OX=9606 GN=PTX3 PE=1 SV=3
C1RL-2,3349,4.3,4.19,4.58,1.9,1.71,2.12,1.245851593,3.20E-11,3.20E-11,C1RL,NP_057630.2;AAH62428.1;XP_028685057.1;NP_001284569.1,"complement C1r subcomponent-like protein isoform 1 precursor [Homo sapiens];C1RL protein, partial [Homo sapiens];complement C1r subcomponent-like protein isoform X1 [Macaca mulatta];complement C1r subcomponent-like protein isoform 2 precursor [Homo sapiens]",GO:0072562;GO:0031638;GO:0004252;GO:0005615;GO:0006958;GO:0045087;GO:0070062,"blood microparticle;zymogen activation;serine-type endopeptidase activity;extracellular space;complement activation, classical pathway;innate immune response;extracellular exosome",K24791,C1RL,http://www.genome.jp/dbget-bin/www_bget?ko:K24791,-,-,-,-,sp|Q9NZP8|C1RL_HUMAN,Complement C1r subcomponent-like protein OS=Homo sapiens OX=9606 GN=C1RL PE=1 SV=2
CLCNKB,2368,0.4,0.13,0.13,0,0.07,0,3.35041536,0.02192362,0.02192362,CLCNKB,NP_001159417.2;XP_016810262.2,chloride channel protein ClC-Kb isoform 2 [Homo sapiens];chloride channel protein ClC-Kb isoform X1 [Pan troglodytes],GO:0034220;GO:0005886;GO:0034765;GO:0005247;GO:0016021;GO:0005887;GO:0046872;GO:0034707;GO:0006821;GO:0007588,ion transmembrane transport;plasma membrane;regulation of ion transmembrane transport;voltage-gated chloride channel activity;integral component of membrane;integral component of plasma membrane;metal ion binding;chloride channel complex;chloride transport;excretion,K05017;K05018,CLCNKA;CLCNKB,http://www.genome.jp/dbget-bin/www_bget?ko:K05017;http://www.genome.jp/dbget-bin/www_bget?ko:K05018,Collecting duct acid secretion,ko04966,KOG0476,Cl- channel CLC-2 and related proteins (CLC superfamily),sp|P51801|CLCKB_HUMAN,Chloride channel protein ClC-Kb OS=Homo sapiens OX=9606 GN=CLCNKB PE=1 SV=3
DHX16-7,3108,0,0,0,0,0.17,0.18,-5.13865433,0.013423834,0.013423834,DHX16,NP_003578.2;XP_028702638.1;AQY76786.2;NP_001350444.1,pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 isoform 1 [Homo sapiens];pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 isoform X2 [Macaca mulatta];DHX16 [Homo sapiens];pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 isoform 3 [Homo sapiens],GO:0003723;GO:0071005;GO:0003724;GO:0000398;GO:0008380;GO:0005634;GO:0005681;GO:0016887;GO:0016787;GO:0003676;GO:0004386;GO:0005654;GO:0005524,"RNA binding;U2-type precatalytic spliceosome;RNA helicase activity;mRNA splicing, via spliceosome;RNA splicing;nucleus;spliceosomal complex;ATP hydrolysis activity;hydrolase activity;nucleic acid binding;helicase activity;nucleoplasm;ATP binding",K12813,DHX16,http://www.genome.jp/dbget-bin/www_bget?ko:K12813,Spliceosome,ko03040,KOG0922;KOG0923,DEAH-box RNA helicase;mRNA splicing factor ATP-dependent RNA helicase,sp|O60231|DHX16_HUMAN,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Homo sapiens OX=9606 GN=DHX16 PE=1 SV=2
SAMD11,3044,1.5,1.83,1.44,7.23,6.04,6.97,-2.042205531,5.90E-28,5.90E-28,SAMD11,NP_001372570.1;NP_689699.3;NP_001372569.1,sterile alpha motif domain-containing protein 11 isoform 1 [Homo sapiens];sterile alpha motif domain-containing protein 11 isoform 3 [Homo sapiens];sterile alpha motif domain-containing protein 11 isoform 2 [Homo sapiens],GO:0042393;GO:0045892;GO:0005634;GO:0003682;GO:0003677,"histone binding;negative regulation of transcription, DNA-templated;nucleus;chromatin binding;DNA binding",-,-,-,-,-,-,-,sp|Q96NU1|SAM11_HUMAN,Sterile alpha motif domain-containing protein 11 OS=Homo sapiens OX=9606 GN=SAMD11 PE=1 SV=3
SEMA3B,3207,8.26,9.97,9.34,4.01,4.2,3.42,1.316441032,1.12E-20,1.12E-20,SEMA3B,NP_001276990.1;AAH44602.1;NP_001276991.1;NP_001276989.1;NP_001005914.1,"semaphorin-3B isoform 3 precursor [Homo sapiens];SEMA3B protein, partial [Homo sapiens];semaphorin-3B isoform 4 [Homo sapiens];semaphorin-3B isoform 1 precursor [Homo sapiens];semaphorin-3B isoform 2 precursor [Homo sapiens]",GO:0030215;GO:0048843;GO:0050919;GO:0001755;GO:0005887;GO:0030335;GO:0007267;GO:0005615;GO:0062023;GO:0045499;GO:0061643;GO:0071526;GO:0005783;GO:0005886;GO:0007411,semaphorin receptor binding;negative regulation of axon extension involved in axon guidance;negative chemotaxis;neural crest cell migration;integral component of plasma membrane;positive regulation of cell migration;cell-cell signaling;extracellular space;collagen-containing extracellular matrix;chemorepellent activity;chemorepulsion of axon;semaphorin-plexin signaling pathway;endoplasmic reticulum;plasma membrane;axon guidance,K06840,SEMA3,http://www.genome.jp/dbget-bin/www_bget?ko:K06840,Axon guidance,ko04360,-,-,sp|Q13214|SEM3B_HUMAN,Semaphorin-3B OS=Homo sapiens OX=9606 GN=SEMA3B PE=1 SV=1
RGS4,2993,2.57,3.33,2.87,10.29,8.32,9.89,-1.636966852,2.44E-24,2.44E-24,RGS4,XP_032147443.1;XP_011788727.1;NP_001095915.1,regulator of G-protein signaling 4 isoform X2 [Sapajus apella];PREDICTED: regulator of G-protein signaling 4 [Colobus angolensis palliatus];regulator of G-protein signaling 4 isoform 1 [Homo sapiens],GO:0043547;GO:0009968;GO:0005634;GO:0061052;GO:0032991;GO:0005829;GO:1901380;GO:0001975;GO:0007186;GO:0008277;GO:0051924;GO:2000463;GO:0005886;GO:0045471;GO:0007420;GO:0043278;GO:0060160;GO:1900924;GO:0005737;GO:0045744;GO:0042220;GO:0110053;GO:1990791;GO:0010460;GO:0005516;GO:0001965;GO:0000188;GO:0005096,positive regulation of GTPase activity;negative regulation of signal transduction;nucleus;negative regulation of cell growth involved in cardiac muscle cell development;protein-containing complex;cytosol;negative regulation of potassium ion transmembrane transport;response to amphetamine;G protein-coupled receptor signaling pathway;regulation of G protein-coupled receptor signaling pathway;regulation of calcium ion transport;positive regulation of excitatory postsynaptic potential;plasma membrane;response to ethanol;brain development;response to morphine;negative regulation of dopamine receptor signaling pathway;negative regulation of glycine import across plasma membrane;cytoplasm;negative regulation of G protein-coupled receptor signaling pathway;response to cocaine;regulation of actin filament organization;dorsal root ganglion development;positive regulation of heart rate;calmodulin binding;G-protein alpha-subunit binding;obsolete inactivation of MAPK activity;GTPase activator activity,K16449,RGS,http://www.genome.jp/dbget-bin/www_bget?ko:K16449,-,-,-,-,sp|P49798|RGS4_HUMAN,Regulator of G-protein signaling 4 OS=Homo sapiens OX=9606 GN=RGS4 PE=1 SV=1
GPATCH11,3817,2.06,1.94,1.67,3.5,4.12,5.25,-1.111026281,3.08E-08,3.08E-08,GPATCH11,XP_016803848.1;Q8N954.4;XP_030863881.1;NP_001265434.1,G patch domain-containing protein 11 isoform X4 [Pan troglodytes];RecName: Full=G patch domain-containing protein 11; AltName: Full=Coiled-coil domain-containing protein 75 [Homo sapiens];G patch domain-containing protein 11 isoform X1 [Gorilla gorilla gorilla];G patch domain-containing protein 11 isoform 2 [Homo sapiens],GO:0000776;GO:0003676;GO:0000777,kinetochore;nucleic acid binding;kinetochore,-,-,-,-,-,KOG1994,"Predicted RNA binding protein, contains G-patch and Zn-finger domains",sp|Q8N954|GPT11_HUMAN,G patch domain-containing protein 11 OS=Homo sapiens OX=9606 GN=GPATCH11 PE=1 SV=4
LOC124900515,9298,0.4,0.28,0.26,0.05,0.08,0.05,2.437688907,2.90E-07,2.90E-07,LOC124900515,-,-,-,-,-,-,-,-,-,-,-,-,-
SNAI3-AS1,2430,1.03,1.2,1.91,0.52,0.28,0.4,1.303315084,0.006229229,0.006229229,SNAI3-AS1,EAW66788.1,"hCG1815049, isoform CRA_b [Homo sapiens]",-,-,-,-,-,-,-,-,-,-,-
ZBED3,6134,0.69,0.93,0.68,0.29,0.49,0.35,1.108541206,0.000793788,0.000793788,ZBED3,NP_001316493.1;XP_032106945.1,zinc finger BED domain-containing protein 3 [Homo sapiens];uncharacterized protein LOC116532004 [Sapajus apella],GO:0005737;GO:0000785;GO:0001933;GO:0000981;GO:0032868;GO:0016055;GO:0007015;GO:0040019;GO:0051646;GO:0051643;GO:0090263;GO:0003677;GO:0051293;GO:0045944;GO:0050821;GO:0016020;GO:0009749;GO:0005615;GO:0005829;GO:0046872,"cytoplasm;chromatin;negative regulation of protein phosphorylation;DNA-binding transcription factor activity, RNA polymerase II-specific;response to insulin;Wnt signaling pathway;actin filament organization;positive regulation of embryonic development;mitochondrion localization;endoplasmic reticulum localization;positive regulation of canonical Wnt signaling pathway;DNA binding;establishment of spindle localization;positive regulation of transcription by RNA polymerase II;protein stabilization;membrane;response to glucose;extracellular space;cytosol;metal ion binding",K24639,ZBED3,http://www.genome.jp/dbget-bin/www_bget?ko:K24639,-,-,-,-,sp|Q96IU2|ZBED3_HUMAN,Zinc finger BED domain-containing protein 3 OS=Homo sapiens OX=9606 GN=ZBED3 PE=1 SV=1
PKP1,5326,0.14,0.26,0.13,0.47,0.46,0.35,-1.23054823,0.011044445,0.011044445,PKP1,NP_001005337.1;NP_000290.2,plakophilin-1 isoform 1a [Homo sapiens];plakophilin-1 isoform 1b [Homo sapiens],GO:0005912;GO:0045110;GO:0031424;GO:0019215;GO:0007043;GO:0005886;GO:0007155;GO:0098609;GO:0010628;GO:0005737;GO:0005654;GO:0030057;GO:0030280;GO:0005882;GO:0005634;GO:0045296;GO:1902373;GO:0101003;GO:1990124;GO:0005521;GO:0070268;GO:0007165;GO:0043312;GO:0001533,adherens junction;intermediate filament bundle assembly;keratinization;intermediate filament binding;cell-cell junction assembly;plasma membrane;cell adhesion;cell-cell adhesion;positive regulation of gene expression;cytoplasm;nucleoplasm;desmosome;structural constituent of skin epidermis;intermediate filament;nucleus;cadherin binding;negative regulation of mRNA catabolic process;ficolin-1-rich granule membrane;messenger ribonucleoprotein complex;lamin binding;cornification;signal transduction;neutrophil degranulation;cornified envelope,K10387,PKP1,http://www.genome.jp/dbget-bin/www_bget?ko:K10387,-,-,KOG1048,Neural adherens junction protein Plakophilin and related Armadillo repeat proteins,sp|Q13835|PKP1_HUMAN,Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2
