GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
ZNF267,3271,2.46,2.3,2.02,1.05,1.72,0.87,0.833376951,0.006136445,0.006136445,*,ZNF267,NP_003405.4;NP_001252517.2,zinc finger protein 267 isoform 1 [Homo sapiens];zinc finger protein 267 isoform 2 [Homo sapiens],GO:0046872;GO:0007275;GO:0000978;GO:0006355;GO:0005634;GO:0001228;GO:0006357,"metal ion binding;multicellular organism development;RNA polymerase II cis-regulatory region sequence-specific DNA binding;regulation of transcription, DNA-templated;nucleus;DNA-binding transcription activator activity, RNA polymerase II-specific;regulation of transcription by RNA polymerase II",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q14586|ZN267_HUMAN,Zinc finger protein 267 OS=Homo sapiens OX=9606 GN=ZNF267 PE=1 SV=3
ZNF286A,5381,2.81,2.94,3.05,1.63,2.48,1.4,0.612222014,0.005354078,0.005354078,*,ZNF286A,NP_001275572.1;PNJ31586.1;XP_034798223.1;NP_001275571.1,zinc finger protein 286A isoform 3 [Homo sapiens];ZNF286B isoform 2 [Pongo abelii];zinc finger protein 286A isoform X3 [Pan paniscus];zinc finger protein 286A isoform 1 [Homo sapiens],GO:0046872;GO:0000978;GO:0000981;GO:0006355;GO:0005634;GO:0006357,"metal ion binding;RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;regulation of transcription, DNA-templated;nucleus;regulation of transcription by RNA polymerase II",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q9HBT8|Z286A_HUMAN;sp|P0CG31|Z286B_HUMAN,Zinc finger protein 286A OS=Homo sapiens OX=9606 GN=ZNF286A PE=1 SV=1;Putative zinc finger protein 286B OS=Homo sapiens OX=9606 GN=ZNF286B PE=5 SV=1
ZNF300,3160,0.38,0.47,0.43,0.05,0.3,0.07,1.534101096,0.049863951,0.049863951,Up,ZNF300,XP_011536004.1;NP_001166302.1,zinc finger protein 300 isoform X1 [Homo sapiens];zinc finger protein 300 isoform 1 [Homo sapiens],GO:0005730;GO:0001228;GO:0005634;GO:0006355;GO:0043565;GO:0005654;GO:0006357;GO:0045944;GO:0046872;GO:0016604;GO:0000978;GO:0000981,"nucleolus;DNA-binding transcription activator activity, RNA polymerase II-specific;nucleus;regulation of transcription, DNA-templated;sequence-specific DNA binding;nucleoplasm;regulation of transcription by RNA polymerase II;positive regulation of transcription by RNA polymerase II;metal ion binding;nuclear body;RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q96RE9|ZN300_HUMAN,Zinc finger protein 300 OS=Homo sapiens OX=9606 GN=ZNF300 PE=1 SV=1
ZNF347,8135,3.54,3.64,3.49,1.84,3.16,1.77,0.613049151,0.003682797,0.003682797,*,ZNF347,NP_001166145.1;NP_115973.2;NP_115973.2,"zinc finger protein 347 isoform a [Homo sapiens];zinc finger protein 347 isoform b [Homo sapiens];zinc finger protein 347 isoform b [Homo sapiens] &gt;Q96SE7.2 RecName: Full=Zinc finger protein 347; AltName: Full=Zinc finger protein 1111 [Homo sapiens] &gt;EAW72121.1 zinc finger protein 347, isoform CRA_b [Homo sapiens]",GO:0046872;GO:0000981;GO:0000978;GO:0006355;GO:0005634;GO:0006357,"metal ion binding;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;regulation of transcription, DNA-templated;nucleus;regulation of transcription by RNA polymerase II",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q96SE7|ZN347_HUMAN,Zinc finger protein 347 OS=Homo sapiens OX=9606 GN=ZNF347 PE=1 SV=2
ZNF451,5309,7.75,8.55,8.53,3.92,8.05,4.16,0.594338978,0.020739514,0.020739514,*,ZNF451,ELK00183.1;XP_011512764.1;XP_011512763.1;XP_011512765.1;AAH98382.1;NP_001244202.1;NP_001026794.1;XP_011512762.1;NP_056370.2,hypothetical protein PAL_GLEAN10025293 [Pteropus alecto];E3 SUMO-protein ligase ZNF451 isoform X4 [Homo sapiens];E3 SUMO-protein ligase ZNF451 isoform X2 [Homo sapiens];E3 SUMO-protein ligase ZNF451 isoform X5 [Homo sapiens];ZNF451 protein [Homo sapiens];E3 SUMO-protein ligase ZNF451 isoform 3 [Homo sapiens];E3 SUMO-protein ligase ZNF451 isoform 1 [Homo sapiens];E3 SUMO-protein ligase ZNF451 isoform X1 [Homo sapiens];E3 SUMO-protein ligase ZNF451 isoform 2 [Homo sapiens],GO:0006357;GO:0016925;GO:0010468;GO:0043565;GO:0060633;GO:0005634;GO:2000616;GO:0016021;GO:0000981;GO:0003714;GO:0061665;GO:0046872;GO:0030512;GO:0016605;GO:0045944,"regulation of transcription by RNA polymerase II;protein sumoylation;regulation of gene expression;sequence-specific DNA binding;negative regulation of transcription initiation from RNA polymerase II promoter;nucleus;negative regulation of histone H3-K9 acetylation;integral component of membrane;DNA-binding transcription factor activity, RNA polymerase II-specific;transcription corepressor activity;SUMO ligase activity;metal ion binding;negative regulation of transforming growth factor beta receptor signaling pathway;PML body;positive regulation of transcription by RNA polymerase II",K25176,ZNF451,http://www.genome.jp/dbget-bin/www_bget?ko:K25176,-,-,-,-,sp|Q8N7I0|GVQW1_HUMAN;sp|Q9Y4E5|ZN451_HUMAN,Protein GVQW1 OS=Homo sapiens OX=9606 GN=GVQW1 PE=2 SV=1;E3 SUMO-protein ligase ZNF451 OS=Homo sapiens OX=9606 GN=ZNF451 PE=1 SV=2
ZNF468,4546,4.46,3.69,3.68,1.93,3.32,1.97,0.645870544,0.004705663,0.004705663,*,ZNF468,XP_016882932.1;NP_001008801.1;XP_025222798.1,zinc finger protein 468 isoform X1 [Homo sapiens];zinc finger protein 468 isoform 2 [Homo sapiens];zinc finger protein 468 isoform X1 [Theropithecus gelada],GO:0006357;GO:0005634;GO:0006355;GO:0000978;GO:0000981;GO:0046872,"regulation of transcription by RNA polymerase II;nucleus;regulation of transcription, DNA-templated;RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;metal ion binding",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q5VIY5|ZN468_HUMAN,Zinc finger protein 468 OS=Homo sapiens OX=9606 GN=ZNF468 PE=2 SV=1
ZNF527,5186,1.25,1.07,0.87,0.44,0.72,0.42,0.942787612,0.003928216,0.003928216,*,ZNF527,XP_016882870.1;XP_005259386.1;BAB47458.1;NP_115829.1;XP_005259385.1,"zinc finger protein 527 isoform X4 [Homo sapiens];zinc finger protein 527 isoform X2 [Homo sapiens];KIAA1829 protein, partial [Homo sapiens];zinc finger protein 527 [Homo sapiens];zinc finger protein 527 isoform X1 [Homo sapiens]",GO:0046872;GO:0000122;GO:0000981;GO:0001227;GO:0000977;GO:0000978;GO:0005634;GO:0006355;GO:0006357,"metal ion binding;negative regulation of transcription by RNA polymerase II;DNA-binding transcription factor activity, RNA polymerase II-specific;DNA-binding transcription repressor activity, RNA polymerase II-specific;RNA polymerase II transcription regulatory region sequence-specific DNA binding;RNA polymerase II cis-regulatory region sequence-specific DNA binding;nucleus;regulation of transcription, DNA-templated;regulation of transcription by RNA polymerase II",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q8NB42|ZN527_HUMAN,Zinc finger protein 527 OS=Homo sapiens OX=9606 GN=ZNF527 PE=2 SV=2
ZNF568,2415,1.11,2.45,3.4,1.06,1.93,0.82,0.751008595,0.049759688,0.049759688,*,ZNF568,PNI95931.1;AAH31218.1;PNI95936.1;XP_001163591.2;AAI31548.1,"ZNF568 isoform 4, partial [Pan troglodytes];ZNF568 protein, partial [Homo sapiens];ZNF568 isoform 10 [Pan troglodytes];zinc finger protein 568 isoform X2 [Pan troglodytes];ZNF568 protein, partial [Homo sapiens]",GO:0000978;GO:0000981;GO:0000122;GO:0000976;GO:0045892;GO:0046872;GO:0006357;GO:0060669;GO:0005634;GO:0001701;GO:0001228;GO:0006355,"RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;negative regulation of transcription by RNA polymerase II;transcription cis-regulatory region binding;negative regulation of transcription, DNA-templated;metal ion binding;regulation of transcription by RNA polymerase II;embryonic placenta morphogenesis;nucleus;in utero embryonic development;DNA-binding transcription activator activity, RNA polymerase II-specific;regulation of transcription, DNA-templated",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q3ZCX4|ZN568_HUMAN;sp|Q3ZCX4|ZN568_HUMAN;sp|E9PYI1|ZN568_MOUSE,Zinc finger protein 568 OS=Homo sapiens OX=9606 GN=ZNF568 PE=2 SV=2;Zinc finger protein 568 OS=Homo sapiens OX=9606 GN=ZNF568 PE=1 SV=2;Zinc finger protein 568 OS=Mus musculus OX=10090 GN=Znf568 PE=1 SV=1
ZNF569,3976,2.46,2.73,2.88,1.05,2.17,1.02,0.876309442,0.005605812,0.005605812,*,ZNF569,XP_018871409.2;PNI96037.1,"zinc finger protein 569 isoform X1 [Gorilla gorilla gorilla];ZNF569 isoform 4, partial [Pan troglodytes]",GO:0046872;GO:0000981;GO:0000978;GO:0006355;GO:0005634;GO:0006357,"metal ion binding;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;regulation of transcription, DNA-templated;nucleus;regulation of transcription by RNA polymerase II",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q5MCW4|ZN569_HUMAN,Zinc finger protein 569 OS=Homo sapiens OX=9606 GN=ZNF569 PE=1 SV=1
ZNF570,5199,1,1.15,1.15,0.49,0.96,0.6,0.624411137,0.044809836,0.044809836,*,ZNF570,NP_001287922.1;XP_016791301.1;NP_001308921.1;XP_011807902.1,zinc finger protein 570 isoform 1 precursor [Homo sapiens];zinc finger protein 570 isoform X1 [Pan troglodytes];zinc finger protein 570 isoform 3 [Homo sapiens];PREDICTED: zinc finger protein 570 [Colobus angolensis palliatus],GO:0005634;GO:0006355;GO:0006357;GO:0046872;GO:0000981;GO:0000978,"nucleus;regulation of transcription, DNA-templated;regulation of transcription by RNA polymerase II;metal ion binding;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q96NI8|ZN570_HUMAN,Zinc finger protein 570 OS=Homo sapiens OX=9606 GN=ZNF570 PE=2 SV=1
ZNF585B,5339,3.92,4.77,4.96,2.09,2.81,1.84,0.74771374,0.000442191,0.000442191,*,ZNF585B,KAI2590646.1;NP_689492.3;KAI2590647.1,"zinc finger protein 585B [Homo sapiens] &gt;KAI4042307.1 zinc finger protein 585B [Homo sapiens];zinc finger protein 585B [Homo sapiens];zinc finger protein 585B, partial [Homo sapiens] &gt;KAI4042308.1 zinc finger protein 585B, partial [Homo sapiens]",GO:0006357;GO:0001228;GO:0005634;GO:0006355;GO:0000978;GO:0046872,"regulation of transcription by RNA polymerase II;DNA-binding transcription activator activity, RNA polymerase II-specific;nucleus;regulation of transcription, DNA-templated;RNA polymerase II cis-regulatory region sequence-specific DNA binding;metal ion binding",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q52M93|Z585B_HUMAN;sp|Q52M93|Z585B_HUMAN,Zinc finger protein 585B OS=Homo sapiens OX=9606 GN=ZNF585B PE=2 SV=1;Zinc finger protein 585B OS=Homo sapiens OX=9606 GN=ZNF585B PE=1 SV=1
ZNF606-AS1,1295,3.09,2.89,2.19,1.6,1.7,1.16,0.79544342,0.038610585,0.038610585,*,ZNF606-AS1,XP_055228315.1,LOW QUALITY PROTEIN: vomeronasal type-2 receptor 26 [Gorilla gorilla gorilla],-,-,-,-,-,-,-,-,-,-,-
ZNF611,4326,4.09,4.28,4.21,2.25,2.96,2.98,0.638746109,6.25E-05,6.25E-05,*,ZNF611,NP_001154971.1;AAP34472.1;KAI2592837.1,zinc finger protein 611 isoform a [Homo sapiens];LP3428 [Homo sapiens];zinc finger protein 611 [Homo sapiens] &gt;KAI2592838.1 zinc finger protein 611 [Homo sapiens] &gt;KAI2592839.1 zinc finger protein 611 [Homo sapiens] &gt;KAI2592840.1 zinc finger protein 611 [Homo sapiens],GO:0005634;GO:0006355;GO:0006357;GO:0046872;GO:0000981;GO:0000978,"nucleus;regulation of transcription, DNA-templated;regulation of transcription by RNA polymerase II;metal ion binding;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q8N823|ZN611_HUMAN;sp|P61583|NP5_HUMAN,Zinc finger protein 611 OS=Homo sapiens OX=9606 GN=ZNF611 PE=1 SV=2;Endogenous retrovirus group K member 5 Np9 protein OS=Homo sapiens OX=9606 GN=ERVK-5 PE=3 SV=1
ZNF613,3155,1.49,1.47,1.39,0.72,0.95,0.68,0.810446995,0.005871267,0.005871267,*,ZNF613,NP_001026891.2;NP_001026891.2,"zinc finger protein 613 isoform 1 [Homo sapiens];zinc finger protein 613 isoform 1 [Homo sapiens] &gt;Q6PF04.2 RecName: Full=Zinc finger protein 613 [Homo sapiens] &gt;EAW72052.1 zinc finger protein 613, isoform CRA_a [Homo sapiens] &gt;KAI2592732.1 zinc finger protein 613 [Homo sapiens] &gt;KAI4044391.1 zinc finger protein 613 [Homo sapiens]",GO:0006357;GO:0005634;GO:0006355;GO:0000978;GO:0046872;GO:0003700,"regulation of transcription by RNA polymerase II;nucleus;regulation of transcription, DNA-templated;RNA polymerase II cis-regulatory region sequence-specific DNA binding;metal ion binding;DNA-binding transcription factor activity",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q6PF04|ZN613_HUMAN,Zinc finger protein 613 OS=Homo sapiens OX=9606 GN=ZNF613 PE=1 SV=2
ZNF614,4628,1.89,1.67,1.5,0.71,1.18,1.14,0.676393389,0.012419623,0.012419623,*,ZNF614,NP_079316.2,zinc finger protein 614 [Homo sapiens],GO:0000122;GO:0046872;GO:0003677;GO:0000977;GO:0001227;GO:0000981;GO:0006355;GO:0005634;GO:0006357,"negative regulation of transcription by RNA polymerase II;metal ion binding;DNA binding;RNA polymerase II transcription regulatory region sequence-specific DNA binding;DNA-binding transcription repressor activity, RNA polymerase II-specific;DNA-binding transcription factor activity, RNA polymerase II-specific;regulation of transcription, DNA-templated;nucleus;regulation of transcription by RNA polymerase II",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q8N883|ZN614_HUMAN,Zinc finger protein 614 OS=Homo sapiens OX=9606 GN=ZNF614 PE=1 SV=2
ZNF616,4356,0.9,1.05,1.32,0.76,0.69,0.6,0.626405405,0.041984146,0.041984146,*,ZNF616,XP_007996046.2;NP_848618.2,zinc finger protein 616 [Chlorocebus sabaeus];zinc finger protein 616 [Homo sapiens],GO:0046872;GO:0000978;GO:0000981;GO:0001227;GO:0005634;GO:0006355;GO:0005654;GO:0006357,"metal ion binding;RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;DNA-binding transcription repressor activity, RNA polymerase II-specific;nucleus;regulation of transcription, DNA-templated;nucleoplasm;regulation of transcription by RNA polymerase II",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q08AN1|ZN616_HUMAN,Zinc finger protein 616 OS=Homo sapiens OX=9606 GN=ZNF616 PE=2 SV=2
ZNF623-2,5110,1.31,1.04,0.71,0.59,0.49,0.36,0.980037059,0.00544355,0.00544355,*,ZNF623,NP_055604.3;XP_009454395.2,zinc finger protein 623 isoform 1 [Homo sapiens];zinc finger protein 623 isoform X1 [Pan troglodytes],GO:0000981;GO:0000978;GO:0046872;GO:0006357;GO:0005634,"DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;metal ion binding;regulation of transcription by RNA polymerase II;nucleus",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|O75123|ZN623_HUMAN,Zinc finger protein 623 OS=Homo sapiens OX=9606 GN=ZNF623 PE=1 SV=3
ZNF624,4235,0.47,0.4,0.53,0.18,0.32,0.11,1.149718229,0.032275725,0.032275725,Up,ZNF624,NP_065838.2;PNI17292.1;XP_011522272.1,"zinc finger protein 624 [Homo sapiens];ZNF624 isoform 1, partial [Pan troglodytes];zinc finger protein 624 isoform X1 [Homo sapiens]",GO:0005634;GO:0006355;GO:0006357;GO:0046872;GO:0000978;GO:0000977;GO:0000981,"nucleus;regulation of transcription, DNA-templated;regulation of transcription by RNA polymerase II;metal ion binding;RNA polymerase II cis-regulatory region sequence-specific DNA binding;RNA polymerase II transcription regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q9P2J8|ZN624_HUMAN,Zinc finger protein 624 OS=Homo sapiens OX=9606 GN=ZNF624 PE=1 SV=3
ZNF644,4610,6.04,6.99,7.69,3.94,6.56,3.42,0.639353783,0.014389843,0.014389843,*,ZNF644,XP_005271314.1;NP_958357.1;NP_958357.1;NP_057704.2,"zinc finger protein 644 isoform X1 [Homo sapiens];zinc finger protein 644 isoform 1 [Homo sapiens] &gt;XP_016857977.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_016857978.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_016857980.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_047287918.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_047287921.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_047287928.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_047287929.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_054195072.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_054195073.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_054195074.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_054195075.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_054195076.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_054195077.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;XP_054195078.1 zinc finger protein 644 isoform X2 [Homo sapiens] &gt;Q9H582.2 RecName: Full=Zinc finger protein 644; AltName: Full=Zinc finger motif enhancer-binding protein 2; Short=Zep-2 [Homo sapiens] &gt;BAG10440.1 zinc finger protein 644, partial [synthetic construct] &gt;AAI32777.1 Zinc finger protein 644 [Homo sapiens] &gt;AAI32779.1 Zinc finger protein 644 [Homo sapiens] &gt;EAW73118.1 zinc finger protein 644 [Homo sapiens] &gt;KAI2517864.1 zinc finger protein 644 [Homo sapiens];zinc finger protein 644 isoform 1 [Homo sapiens];zinc finger protein 644 isoform 2 [Homo sapiens]",GO:0046872;GO:0000981;GO:0001226;GO:0000978;GO:0005634;GO:0006357,"metal ion binding;DNA-binding transcription factor activity, RNA polymerase II-specific;transcription corepressor binding;RNA polymerase II cis-regulatory region sequence-specific DNA binding;nucleus;regulation of transcription by RNA polymerase II",K24374,ZNF644,http://www.genome.jp/dbget-bin/www_bget?ko:K24374,-,-,-,-,sp|Q9H582|ZN644_HUMAN,Zinc finger protein 644 OS=Homo sapiens OX=9606 GN=ZNF644 PE=1 SV=2
ZNF649,3110,1.84,1.62,1.65,1,1.32,0.94,0.61563244,0.021018937,0.021018937,*,ZNF649,XP_011821435.1;BAB14191.1;NP_075562.2,PREDICTED: zinc finger protein 649 [Mandrillus leucophaeus];unnamed protein product [Homo sapiens];zinc finger protein 649 [Homo sapiens],GO:0000978;GO:0046872;GO:0003700;GO:0006357;GO:0005634;GO:0006355;GO:0005615,"RNA polymerase II cis-regulatory region sequence-specific DNA binding;metal ion binding;DNA-binding transcription factor activity;regulation of transcription by RNA polymerase II;nucleus;regulation of transcription, DNA-templated;extracellular space",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q9BS31|ZN649_HUMAN,Zinc finger protein 649 OS=Homo sapiens OX=9606 GN=ZNF649 PE=1 SV=1
ZNF675,2311,2.63,3.06,3.24,1.32,2.54,1.07,0.794856551,0.025456095,0.025456095,*,ZNF675,NP_612203.2;PNI24728.1,"zinc finger protein 675 [Homo sapiens];ZNF675 isoform 8, partial [Pan troglodytes]",GO:0000981;GO:0048471;GO:0000978;GO:0031625;GO:0046872;GO:0007249;GO:0003677;GO:0000122;GO:0010804;GO:0045671;GO:0046329;GO:0043508;GO:0045453;GO:2000678;GO:2000660;GO:0032088;GO:0019221;GO:0006355;GO:0005634;GO:0008270,"DNA-binding transcription factor activity, RNA polymerase II-specific;perinuclear region of cytoplasm;RNA polymerase II cis-regulatory region sequence-specific DNA binding;ubiquitin protein ligase binding;metal ion binding;I-kappaB kinase/NF-kappaB signaling;DNA binding;negative regulation of transcription by RNA polymerase II;negative regulation of tumor necrosis factor-mediated signaling pathway;negative regulation of osteoclast differentiation;negative regulation of JNK cascade;negative regulation of JUN kinase activity;bone resorption;negative regulation of transcription regulatory region DNA binding;negative regulation of interleukin-1-mediated signaling pathway;negative regulation of NF-kappaB transcription factor activity;cytokine-mediated signaling pathway;regulation of transcription, DNA-templated;nucleus;zinc ion binding",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q8TD23|ZN675_HUMAN,Zinc finger protein 675 OS=Homo sapiens OX=9606 GN=ZNF675 PE=1 SV=3
ZNF699,6758,2.64,2.85,3.05,1.16,2.19,1.33,0.808362387,0.000537368,0.000537368,*,ZNF699,NP_940937.1,zinc finger protein 699 [Homo sapiens],GO:0005634;GO:0006355;GO:0006357;GO:0046872;GO:0000981;GO:0000978;GO:0000977,"nucleus;regulation of transcription, DNA-templated;regulation of transcription by RNA polymerase II;metal ion binding;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;RNA polymerase II transcription regulatory region sequence-specific DNA binding",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q32M78|ZN699_HUMAN,Zinc finger protein 699 OS=Homo sapiens OX=9606 GN=ZNF699 PE=1 SV=1
ZNF709,4897,0.93,0.8,0.67,0.17,0.49,0.27,1.314726799,0.003513506,0.003513506,Up,ZNF709,XP_032003519.1,"zinc finger protein 709-like, partial [Hylobates moloch]",GO:0046872;GO:0006355,"metal ion binding;regulation of transcription, DNA-templated",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q8N972|ZN709_HUMAN,Zinc finger protein 709 OS=Homo sapiens OX=9606 GN=ZNF709 PE=2 SV=1
ZNF75A,3424,4.76,4.2,4.06,1.62,3.5,1.7,0.728622162,0.030582654,0.030582654,*,ZNF75A,XP_016879132.1;NP_694573.1;XP_011520948.1;NP_001311014.1;EAW85376.1;XP_016879134.1;NP_001289038.1;XP_031514389.1,"zinc finger protein 75A isoform X3 [Homo sapiens];zinc finger protein 75A isoform 2 [Homo sapiens];zinc finger protein 75A isoform X1 [Homo sapiens];zinc finger protein 75A isoform 4 [Homo sapiens];zinc finger protein 75a, isoform CRA_c [Homo sapiens];zinc finger protein 75A isoform X5 [Homo sapiens];zinc finger protein 75A isoform 1 [Homo sapiens];zinc finger protein 75A isoform X1 [Papio anubis] &gt;XP_031514390.1 zinc finger protein 75A isoform X1 [Papio anubis]",GO:0046872;GO:0006355,"metal ion binding;regulation of transcription, DNA-templated",K09229,ZKSCAN,http://www.genome.jp/dbget-bin/www_bget?ko:K09229,-,-,-,-,sp|P51815|ZN75D_HUMAN;sp|Q96N20|ZN75A_HUMAN,Zinc finger protein 75D OS=Homo sapiens OX=9606 GN=ZNF75D PE=2 SV=2;Zinc finger protein 75A OS=Homo sapiens OX=9606 GN=ZNF75A PE=1 SV=1
ZNF77,2325,2.16,1.84,1.26,0.72,0.88,1.12,0.729526494,0.048959847,0.048959847,*,ZNF77,NP_067040.1,zinc finger protein 77 [Homo sapiens],GO:0000977;GO:0001227;GO:0000981;GO:0000122;GO:0046872;GO:0006357;GO:0006355;GO:0005634,"RNA polymerase II transcription regulatory region sequence-specific DNA binding;DNA-binding transcription repressor activity, RNA polymerase II-specific;DNA-binding transcription factor activity, RNA polymerase II-specific;negative regulation of transcription by RNA polymerase II;metal ion binding;regulation of transcription by RNA polymerase II;regulation of transcription, DNA-templated;nucleus",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q15935|ZNF77_HUMAN,Zinc finger protein 77 OS=Homo sapiens OX=9606 GN=ZNF77 PE=1 SV=2
ZNF770,4827,7.44,8.14,7.99,3.82,5.97,3.65,0.68033029,0.000723964,0.000723964,*,ZNF770,NP_054825.2;XP_016783398.1;NP_054825.2,"zinc finger protein 770 [Homo sapiens] &gt;XP_011520046.1 zinc finger protein 770 isoform X1 [Homo sapiens] &gt;XP_054234321.1 zinc finger protein 770 isoform X1 [Homo sapiens] &gt;Q6IQ21.1 RecName: Full=Zinc finger protein 770 [Homo sapiens] &gt;AIC56600.1 ZNF770, partial [synthetic construct] &gt;SJX44166.1 unnamed protein product, partial [Human ORFeome Gateway entry vector] &gt;AAH71603.1 Zinc finger protein 770 [Homo sapiens] &gt;EAW92324.1 hypothetical protein FLJ20582 [Homo sapiens] &gt;KAI2573435.1 zinc finger protein 770 [Homo sapiens];zinc finger protein 770 isoform X2 [Pan troglodytes];zinc finger protein 770 [Homo sapiens]",GO:0000981;GO:0000978;GO:0046872;GO:0003700;GO:0006357;GO:0043565;GO:0001228;GO:0005634,"DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;metal ion binding;DNA-binding transcription factor activity;regulation of transcription by RNA polymerase II;sequence-specific DNA binding;DNA-binding transcription activator activity, RNA polymerase II-specific;nucleus",-,-,-,-,-,-,-,sp|Q6IQ21|ZN770_HUMAN,Zinc finger protein 770 OS=Homo sapiens OX=9606 GN=ZNF770 PE=1 SV=1
